"Provincia","Municipio","Direccion","RazonSocial","PuntosToma","NivelTension","Distribuidora"
"ZARAGOZA","Zaragoza","PLAZA ARAGON ,10","IBERDROLA CLIENTES SOCIEDAD ANONIMA","1","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Vic","PLAZA MAJOR ,4","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Vilafranca del Penedès","PLAZA DEL PENEDÉS ,S/N","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"SALAMANCA","Terradillos","PASEO DE PONIENTE ,S/N","SFERAONE SOLUTIONS Y SERVICES SL","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Derio","CALLE AEROPUERTO CARLOS HAYA ,4 PI BAJO PT 1","ESTACION DE SERVICIO AMUNAGA SL","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Derio","BARRIO SAN CRISTOBAL AUZOA, 36, BAJO PR DERIO - BIZKAIA ,CTRA- BI 3715, ","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"TARRAGONA","Aldea (L')","POLIGONO ESTACION DE MERCADERIAS ,S/N","TESLA MOTORS NETHERLANDS BV","6","480","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BIZKAIA","Zamudio","CALLE PARQUE TECNOLÓGICO ZAMUDIO ,EDIFICIO 210","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Zamudio","CALLE PARQUE TECNOLÓGICO ZAMUDIO (KANALA BIDEA EDIFICIO 101) ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"HUESCA","Aínsa-Sobrarbe","CALLE PINETA ,4","APOLOCUATRO, SL","1","400","Unión Fenosa"
